City,Type,12 AM,1 AM,2 AM,3 AM,4 AM,5 AM,6 AM,7 AM,8 AM,9 AM,10 AM,11 AM,12 PM,1 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM,8 PM,9 PM,10 PM,11 PM
Lowell,Light Truck,29,19,18,13,10,6,38,83,80,66,66,85,77,72,112,136,110,113,66,59,49,30,37,28
Lowell,Bus,0,1,0,0,0,0,0,9,9,4,4,2,3,2,13,8,7,5,2,3,3,0,0,1
Lowell,Motorcycle,1,0,0,0,0,0,0,0,0,0,2,0,7,1,1,4,3,4,5,3,4,3,0,1
Lowell,MOPED,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,1,1,0,1,1
Lowell,Other,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,1,0,0,0,0
Lowell,Not Reported,19,10,6,4,5,1,4,6,6,6,7,9,22,12,12,11,15,11,13,7,4,6,14,5
Lowell,Unknown Vehicle Configuration,9,6,9,1,4,1,5,5,8,4,13,7,19,8,8,10,10,24,12,6,8,4,4,4
Lowell,Single-unit truck,0,0,1,1,0,0,0,3,2,4,2,1,8,6,5,6,3,2,2,1,2,0,1,0
Lowell,Motor homerecreational vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lowell,Trucktrailer,0,0,0,0,0,0,0,0,1,3,0,3,3,2,0,0,1,0,2,0,0,0,0,0
Lynn,Passenger car,37,42,26,19,20,35,59,137,134,118,140,108,134,156,209,215,161,184,161,94,79,100,75,69
Lynn,Light Truck,14,11,7,3,1,6,20,36,38,47,48,49,45,59,85,81,58,54,56,32,32,34,27,21
Lynn,Bus,1,0,0,0,0,0,1,2,4,1,2,0,2,5,2,3,0,2,0,0,0,0,0,0
Lynn,Motorcycle,0,0,0,0,0,0,1,0,0,2,2,1,3,3,0,2,2,1,2,1,1,2,2,0
Lynn,MOPED,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,1,1,1,2,1,1,1,0,1
Lynn,Other,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Lynn,Not Reported,1,2,4,3,0,0,3,3,6,4,7,1,3,5,5,5,4,3,3,3,6,10,6,7
Lynn,Unknown Vehicle Configuration,0,1,0,0,1,1,0,1,2,0,1,0,1,1,1,0,0,0,1,0,0,0,3,2
Lynn,Single-unit truck,1,0,1,0,1,0,1,2,4,6,6,4,3,6,8,7,5,2,0,1,0,2,0,2
Lynn,Motor homerecreational vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lynn,Trucktrailer,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,3,0,0,1,1,0,0,0,1
Malden,Passenger car,20,25,8,5,7,9,15,41,48,41,36,46,34,33,49,49,53,55,57,30,31,20,23,19
Malden,Light Truck,10,6,5,6,1,4,10,17,23,8,10,19,9,24,25,26,22,33,14,12,12,9,5,4
Malden,Bus,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malden,Motorcycle,0,0,0,0,0,0,0,1,3,1,0,0,1,0,4,1,1,2,0,1,0,1,0,1
Malden,MOPED,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Malden,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0
Malden,Not Reported,1,0,0,0,0,0,2,0,4,1,0,2,1,0,0,0,0,0,0,1,1,1,2,2
Malden,Unknown Vehicle Configuration,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0
Malden,Single-unit truck,0,0,0,0,1,0,0,1,0,3,1,3,0,1,3,1,1,1,1,0,0,0,1,0
Malden,Motor homerecreational vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malden,Trucktrailer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Medford,Passenger car,28,15,23,11,6,8,27,43,56,70,48,47,73,61,59,73,53,56,47,40,49,24,29,19
Medford,Light Truck,1,4,7,4,4,6,12,25,42,42,29,26,33,18,29,32,43,28,33,14,17,8,10,15
Medford,Bus,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
Medford,Motorcycle,0,0,0,0,0,0,0,1,1,2,0,1,0,1,1,1,2,1,0,0,1,1,0,1
Medford,MOPED,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Medford,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medford,Not Reported,5,0,1,1,0,2,2,3,1,3,1,3,7,3,1,1,1,1,0,2,1,0,1,2
Medford,Unknown Vehicle Configuration,3,3,1,1,2,0,3,3,10,4,1,9,14,6,10,3,13,4,7,1,3,0,2,5
Medford,Single-unit truck,1,0,0,0,0,0,0,1,5,5,0,2,1,1,1,2,1,0,1,1,0,0,0,1
Medford,Motor homerecreational vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medford,Trucktrailer,0,0,0,0,0,0,1,3,2,1,3,0,3,1,0,2,1,1,0,0,0,0,0,0
New Bedford,Passenger car,63,65,88,28,21,30,86,167,218,186,201,258,276,261,280,314,293,308,196,159,141,122,98,101
New Bedford,Light Truck,10,6,12,4,3,4,17,26,24,36,27,17,35,27,30,50,40,56,31,26,14,15,12,11
New Bedford,Bus,0,0,0,0,0,0,2,8,9,8,1,4,5,5,10,10,6,3,0,0,0,0,0,0
New Bedford,Motorcycle,1,0,0,0,0,0,0,1,1,3,2,2,5,1,1,5,9,3,2,4,2,2,0,0
New Bedford,MOPED,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,1,4,0,1,0,0,0
New Bedford,Other,1,0,1,2,0,0,0,4,0,3,1,4,2,2,2,3,1,0,2,2,1,1,0,2
New Bedford,Not Reported,3,2,4,1,4,0,4,3,10,4,6,5,5,9,7,11,13,11,10,10,10,4,5,9
New Bedford,Unknown Vehicle Configuration,5,1,5,1,2,2,3,3,8,4,6,9,4,9,10,2,10,6,13,5,5,6,7,3
New Bedford,Single-unit truck,2,0,1,0,0,1,1,1,1,2,3,4,3,7,2,3,4,1,1,1,0,5,0,1
New Bedford,Motor homerecreational vehicle,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
New Bedford,Trucktrailer,0,0,0,2,0,1,0,2,1,4,3,4,5,9,4,6,4,5,1,0,2,0,0,0
Plymouth,Passenger car,24,14,11,6,6,9,10,19,49,22,33,37,45,58,72,71,45,53,32,18,26,19,24,17
Plymouth,Light Truck,5,5,4,0,7,2,5,12,13,19,22,22,28,18,36,25,29,24,26,18,12,10,10,9
Plymouth,Bus,0,0,0,0,0,0,1,1,3,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0
Plymouth,Motorcycle,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,1,1
Plymouth,MOPED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Plymouth,Other,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Plymouth,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Plymouth,Unknown Vehicle Configuration,0,3,0,0,0,0,0,3,3,3,6,1,7,10,10,5,8,1,3,2,1,1,1,0
Plymouth,Single-unit truck,0,0,0,1,0,0,0,2,2,2,0,0,2,0,2,2,1,1,1,2,0,0,0,0
Plymouth,Motor homerecreational vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plymouth,Trucktrailer,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,1,0,0,0,0,0,0
Quincy,Passenger car,52,32,24,7,7,8,36,74,116,115,104,141,121,155,149,141,126,115,149,78,60,69,50,47
Quincy,Light Truck,23,20,3,3,9,0,22,41,62,51,51,63,86,67,81,84,68,68,72,41,23,33,30,28
Quincy,Bus,0,0,1,0,0,0,1,5,1,0,2,0,1,0,3,0,0,0,1,0,0,0,0,1
Quincy,Motorcycle,0,1,0,0,0,0,0,1,0,1,1,1,2,0,1,1,0,5,3,1,0,1,1,0
Quincy,MOPED,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Quincy,Other,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0
Quincy,Not Reported,3,1,2,0,0,0,0,4,1,0,1,1,1,1,1,1,1,4,1,1,0,0,3,1
Quincy,Unknown Vehicle Configuration,2,0,0,0,0,0,0,2,0,0,0,0,2,2,1,2,0,3,1,0,3,3,1,3
Quincy,Single-unit truck,0,0,0,0,0,2,3,3,7,6,4,3,4,4,2,2,1,2,6,1,1,0,0,0
Quincy,Motor homerecreational vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quincy,Trucktrailer,0,0,0,0,0,0,0,0,0,3,5,1,4,3,1,1,0,1,0,1,0,1,0,0
Somerville,Passenger car,17,13,14,6,2,11,17,33,42,37,39,43,55,31,31,55,28,67,45,50,26,24,39,22
Somerville,Light Truck,3,9,2,1,1,2,15,19,18,21,16,17,28,15,23,30,11,22,20,13,5,11,9,10
Somerville,Bus,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,4,1,0,0,0,0
Somerville,Motorcycle,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,1,1,1,0,0,0
Somerville,MOPED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
