City,Street,Time,value
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,2 AM,0
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,3 AM,0
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,4 AM,1
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,5 AM,0
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,6 AM,2
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,7 AM,1
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,8 AM,5
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,9 AM,5
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,10 AM,0
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,11 AM,3
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,12 PM,3
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,1 PM,3
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,2 PM,4
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,3 PM,4
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,4 PM,3
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,5 PM,6
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,6 PM,4
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,7 PM,1
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,8 PM,2
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,9 PM,2
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,10 PM,1
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,11 PM,2
Brockton,MAIN ST,12 AM,4
Brockton,MAIN ST,1 AM,2
Brockton,MAIN ST,2 AM,0
Brockton,MAIN ST,3 AM,1
Brockton,MAIN ST,4 AM,0
Brockton,MAIN ST,5 AM,1
Brockton,MAIN ST,6 AM,0
