City,Street,12 AM,1 AM,2 AM,3 AM,4 AM,5 AM,6 AM,7 AM,8 AM,9 AM,10 AM,11 AM,12 PM,1 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM,8 PM,9 PM,10 PM,11 PM
Lynn,LYNNFIELD STREET,,,1,,,1,2,2,3,1,3,3,4,,4,3,,2,2,2,,2,1,2
Lynn,CHATHAM STREET ,,1,,,,1,,,3,1,1,4,1,2,4,1,3,4,2,3,1,3,1,
Lynn,BROAD STREET ,,3,,,,,,1,3,1,2,3,1,3,1,1,1,,1,2,1,,1,1
Lynn,WASHINGTON STREET ,,,,,,1,1,2,1,2,2,1,2,1,5,,1,1,,2,1,1,,
Malden,EASTERN AV,,,,,,,,,,,1,,2,1,1,1,3,6,,1,1,,,
Malden,MAIN ST,,,,1,,2,,1,1,2,1,,,1,1,,1,1,,,2,,,
Malden,FELLSWAY EAST ,,,,,,,2,1,1,,,,1,,,1,1,4,,1,1,,,1
Malden,SALEM ST,,,,,,,1,,,1,1,3,,2,2,,2,,1,,,1,,
Malden,COMMERCIAL ST ,,,,,,,,1,3,,,,1,1,3,,1,3,1,,,,,
Malden,BROADWAY ST,,,,,,,,,2,1,,,,1,,3,1,1,,2,,1,,1
Malden,FERRY ST ,,,1,2,,,,,,,,,1,1,1,1,2,1,,,1,,1,
Malden,CHARLES ST,,,,,,,,4,1,1,,1,,,1,2,1,,,,1,,,
Malden,PLEASANT ST,,,,,,,,1,,,,2,1,1,2,2,1,1,1,,,,,
Malden,HIGHLAND AV ,1,,,,,,1,1,,,,1,,1,,1,2,,1,,1,,,
Medford,MAIN STREET ,,1,2,,1,,,3,4,4,,4,2,3,1,6,3,3,2,3,,1,1,1
Medford,HIGH STREET,,,,,,1,,,2,2,4,3,4,4,2,1,1,,1,2,2,1,1,
Medford,Rte 93 S,1,,,,,1,4,1,6,4,4,,,,,3,,1,,,1,2,,
Medford,RIVERSIDE AVENUE ,,,,,,,,1,3,2,,,3,3,2,2,2,2,1,,,3,,1
Medford,SALEM STREET,,1,1,,1,,,,7,2,1,1,,,,2,1,,1,1,,1,2,
Medford,Rte 93 N,,1,1,,1,,,1,2,,1,,,,1,2,6,,2,1,1,,,1
Medford,Rte 93 N ,1,1,,,,,2,,,,,1,,1,2,,1,2,2,2,,2,,
Medford,BOSTON AVENUE,2,1,,,,,,,1,,,1,1,,1,2,5,,,1,,,,
Medford,WINTHROP STREET ,,,,1,,,,4,,2,,1,1,,,1,1,1,,,1,,,
Medford,MYSTIC VALLEY PARKWAY Rte 16 E ,,1,1,,,,,,1,,,2,2,1,,3,,1,1,,,,,
New bedford,ACUSHNET AVE,,1,1,1,1,,1,3,3,3,3,,7,8,11,5,4,5,4,2,3,1,3,1
New bedford,COUNTY ST,,3,2,,,1,,2,2,2,3,4,3,4,5,1,4,,2,,4,3,1,2
New bedford,ASHLEY BLVD,,,1,1,,,1,5,3,1,2,5,3,4,3,2,,6,1,,1,1,,1
New bedford,COUNTY ST ,1,,2,1,1,,,5,3,6,1,,,1,4,3,2,3,,3,1,2,,2
New bedford,KEMPTON ST ,,2,,,,,,,7,3,2,2,2,2,2,4,2,4,4,1,1,,2,
New bedford,ROCKDALE AVE ,,,1,,,,1,1,2,3,3,3,2,1,2,4,5,5,2,1,,2,1,1
New bedford,COVE RD,,,1,,,,1,,,2,2,1,6,2,1,2,3,2,1,1,1,1,1,
New bedford,PURCHASE STREET,2,,3,1,,1,2,,,1,2,3,2,1,,1,3,1,1,1,,,,2
New bedford,HATHAWAY RD,,1,,,,,2,1,2,1,,1,,,3,2,,2,3,1,,,,1
New bedford,COGGESHALL ST ,,,,,,,1,1,1,,2,1,3,2,1,1,,1,1,2,1,,1,
Plymouth,STATE ROAD,1,1,3,1,,1,2,,3,2,5,3,2,3,5,4,5,4,4,3,1,1,,2
Plymouth,LONG POND ROAD,,,2,,2,1,,1,,1,2,1,3,4,9,2,3,3,4,,2,2,1,2
